报名者编号,城市,性别,相关经验,报名大学,教育水平,主修学科,经验年限,公司规模,公司类型,最近一次新工作,培训时长,是否通过
43226,潜江市,,无相关经验,无,本科,工程学,5,10-49,私营公司,>4,155,否
52976,畅县,男,无相关经验,非全日制,本科,无主修,8,<10,其他,>4,132,否
80749,平县,女,无相关经验,无,专科,历史学,>20,10-49,非政府组织,1,147,否
35560,福州市,,无相关经验,非全日制,高中,工程学,4,<10,私营公司,>4,108,否
26313,长沙县,女,无相关经验,无,专科,经济学,9,10-49,公共部门,>4,61,否
55629,晶县,男,有相关经验,全日制,专科,哲学,13,100-500,其他,从未,268,否
46777,福州市,女,有相关经验,非全日制,高中,哲学,18,<10,非政府组织,2,235,否
15865,哈尔滨市,男,无相关经验,非全日制,专科,管理学,15,10-49,融资创业公司,从未,9,否
19680,兰英县,,有相关经验,非全日制,本科,其他,19,100-500,其他,>4,264,否
30050,柳州县,女,有相关经验,全日制,硕士,医学,19,50-99,私营公司,2,236,否
53824,岩市,女,有相关经验,无,硕士,文学,2,10-49,早期创业公司,>4,304,否
66989,雷县,男,无相关经验,非全日制,本科,历史学,13,100-500,早期创业公司,>4,292,否
94190,澳门市,女,有相关经验,无,本科,哲学,4,100-500,早期创业公司,1,105,否
28693,南京市,女,无相关经验,全日制,本科,工程学,16,100-500,私营公司,1,288,否
99701,健市,男,有相关经验,非全日制,专科,文学,9,50-99,非政府组织,3,334,否
88429,飞市,男,有相关经验,全日制,专科,工程学,5,100-500,融资创业公司,1,220,否
65731,永安县,女,有相关经验,无,专科,历史学,9,<10,非政府组织,1,282,否
36776,丽丽县,男,无相关经验,非全日制,本科,哲学,14,50-99,融资创业公司,从未,250,否
44661,天津市,男,有相关经验,非全日制,高中,医学,13,<10,早期创业公司,1,238,否
56351,建县,男,无相关经验,非全日制,专科,管理学,17,10-49,融资创业公司,2,322,否
46523,福州县,,无相关经验,全日制,硕士,理学,<1,10-49,非政府组织,1,151,否
78694,上海市,女,无相关经验,非全日制,专科,历史学,3,100-500,其他,3,219,否
94378,东市,男,有相关经验,全日制,硕士,教育学,16,50-99,非政府组织,从未,236,否
3900,桂英市,男,无相关经验,全日制,本科,其他,15,10-49,融资创业公司,从未,298,否
53458,杭州县,女,无相关经验,非全日制,本科,经济学,10,100-500,非政府组织,>4,141,否
2429,秀华市,,有相关经验,无,硕士,其他,10,50-99,私营公司,3,218,否
35852,波市,,无相关经验,无,本科,医学,>20,10-49,公共部门,>4,36,否
34367,瑜县,男,无相关经验,全日制,专科,经济学,3,<10,早期创业公司,2,212,否
33679,石家庄县,,无相关经验,非全日制,本科,工程学,7,<10,私营公司,>4,63,否
36473,海口县,女,无相关经验,全日制,硕士,工程学,10,100-500,私营公司,从未,66,否
58689,成市,,无相关经验,全日制,硕士,理学,20,10-49,早期创业公司,从未,186,否
76075,西安市,男,无相关经验,全日制,本科,文学,4,10-49,私营公司,从未,277,否
85059,汕尾市,女,无相关经验,全日制,本科,哲学,5,10-49,其他,4,207,否
49483,重庆县,,有相关经验,非全日制,专科,哲学,19,100-500,融资创业公司,从未,22,否
37223,太原市,女,有相关经验,无,本科,理学,12,10-49,非政府组织,3,212,是
78118,琳县,女,无相关经验,无,专科,医学,12,100-500,公共部门,2,184,否
38193,沈阳市,女,有相关经验,无,硕士,历史学,6,<10,公共部门,3,84,否
190,玉兰县,女,有相关经验,无,专科,医学,3,<10,其他,4,133,否
82485,瑞市,女,有相关经验,非全日制,硕士,医学,1,50-99,早期创业公司,4,274,否
16460,玉英县,男,无相关经验,非全日制,高中,工程学,6,10-49,公共部门,>4,327,否
17237,淑珍县,,有相关经验,全日制,硕士,无主修,4,10-49,公共部门,3,324,否
63697,红霞市,女,有相关经验,无,高中,工程学,8,<10,早期创业公司,2,99,否
36948,昆明县,男,无相关经验,无,高中,经济学,17,50-99,其他,2,140,否
20417,东县,女,有相关经验,全日制,专科,文学,18,50-99,公共部门,4,135,否
61818,合肥县,,有相关经验,全日制,高中,理学,<1,10-49,其他,1,163,否
12718,兴城市,,有相关经验,非全日制,专科,哲学,20,50-99,私营公司,3,142,否
96699,健县,,有相关经验,非全日制,本科,工程学,>20,<10,非政府组织,>4,174,是
9736,马鞍山市,女,无相关经验,无,高中,艺术学,14,10-49,非政府组织,1,291,否
81941,石家庄市,,无相关经验,无,专科,其他,16,<10,其他,1,229,否
74276,淑华市,,无相关经验,非全日制,高中,理学,18,100-500,非政府组织,>4,316,否
55836,兵市,女,无相关经验,全日制,硕士,理学,5,<10,公共部门,4,80,否
79906,沈阳县,女,无相关经验,非全日制,高中,医学,>20,50-99,非政府组织,从未,245,否
87001,南昌县,女,有相关经验,非全日制,高中,教育学,12,<10,早期创业公司,从未,131,否
38782,倩市,,无相关经验,无,硕士,哲学,19,<10,融资创业公司,4,92,否
45279,荣县,,无相关经验,非全日制,专科,经济学,3,50-99,其他,3,97,否
59028,霞县,,有相关经验,非全日制,高中,文学,9,100-500,公共部门,>4,293,否
56396,深圳县,男,无相关经验,非全日制,专科,理学,16,100-500,私营公司,>4,249,否
44846,利县,男,有相关经验,非全日制,专科,管理学,11,10-49,融资创业公司,>4,44,否
85111,想县,女,无相关经验,非全日制,本科,艺术学,14,100-500,公共部门,3,220,否
73232,丽娟县,,无相关经验,无,硕士,经济学,9,100-500,其他,4,162,否
22695,太原市,,无相关经验,非全日制,本科,医学,1,50-99,公共部门,4,48,否
11333,浩市,男,无相关经验,无,高中,文学,10,100-500,融资创业公司,1,16,否
43998,北镇市,,无相关经验,非全日制,本科,文学,11,10-49,非政府组织,从未,84,否
86799,淮安市,女,有相关经验,全日制,高中,教育学,7,100-500,非政府组织,>4,1,否
66526,文市,男,无相关经验,非全日制,专科,经济学,7,50-99,私营公司,2,228,否
39557,哈尔滨市,,有相关经验,全日制,高中,无主修,12,<10,融资创业公司,从未,266,否
72649,浩县,女,有相关经验,非全日制,本科,教育学,18,<10,非政府组织,4,38,否
97473,琳市,男,有相关经验,无,专科,文学,5,10-49,非政府组织,>4,323,否
37308,芳县,男,无相关经验,无,硕士,其他,15,<10,其他,2,173,否
88476,柳市,,有相关经验,全日制,硕士,医学,5,10-49,公共部门,3,155,否
8690,沈阳市,男,无相关经验,非全日制,高中,历史学,12,10-49,早期创业公司,4,52,否
82200,澳门市,女,有相关经验,非全日制,硕士,哲学,>20,10-49,早期创业公司,1,268,否
6227,澳门县,男,有相关经验,无,硕士,其他,20,<10,公共部门,从未,98,否
4882,六盘水市,,无相关经验,全日制,本科,教育学,11,<10,融资创业公司,3,183,否
88628,福州市,男,无相关经验,全日制,硕士,文学,2,100-500,私营公司,2,75,否
90160,明市,,无相关经验,无,硕士,文学,3,<10,其他,2,281,否
40079,秀梅市,女,有相关经验,非全日制,高中,历史学,17,10-49,非政府组织,3,183,否
83902,玉英市,,无相关经验,全日制,高中,艺术学,20,50-99,私营公司,>4,164,否
85022,敏县,,有相关经验,无,硕士,艺术学,2,100-500,其他,3,41,否
82548,秀珍县,女,有相关经验,全日制,本科,艺术学,16,50-99,私营公司,1,175,否
59826,洋县,,无相关经验,全日制,专科,历史学,20,100-500,公共部门,4,287,否
66643,沈阳县,女,有相关经验,全日制,本科,工程学,14,100-500,其他,2,81,是
34821,呼和浩特县,女,无相关经验,全日制,高中,文学,17,50-99,融资创业公司,从未,134,否
30927,辉市,男,有相关经验,全日制,高中,工程学,19,10-49,早期创业公司,1,211,否
9951,南宁县,,无相关经验,无,专科,哲学,18,50-99,其他,1,111,否
40888,慧县,男,无相关经验,非全日制,本科,教育学,1,10-49,私营公司,4,313,否
33898,台北市,男,无相关经验,无,专科,文学,12,100-500,早期创业公司,>4,60,否
26890,佛山县,,无相关经验,全日制,本科,管理学,13,50-99,融资创业公司,3,218,否
55737,海门县,女,无相关经验,全日制,专科,医学,20,<10,公共部门,2,243,否
58167,博县,女,有相关经验,全日制,硕士,艺术学,8,<10,公共部门,从未,156,否
63125,通辽县,男,无相关经验,全日制,本科,经济学,2,<10,早期创业公司,3,109,否
72626,秀兰县,,有相关经验,无,高中,经济学,6,50-99,私营公司,1,153,否
76408,银川市,,无相关经验,无,本科,经济学,12,50-99,非政府组织,2,13,否
57166,辽阳县,,无相关经验,非全日制,专科,历史学,20,100-500,融资创业公司,4,240,否
10458,拉萨市,女,有相关经验,全日制,专科,文学,19,<10,非政府组织,3,188,否
6264,秀珍市,,有相关经验,全日制,高中,其他,>20,100-500,私营公司,从未,136,否
44487,丽县,女,有相关经验,全日制,本科,无主修,16,100-500,私营公司,从未,123,否
97405,天津县,女,无相关经验,无,本科,医学,15,50-99,融资创业公司,>4,148,否
96351,秀英县,,有相关经验,非全日制,高中,理学,17,100-500,融资创业公司,1,301,否
32418,玉珍县,女,有相关经验,全日制,本科,其他,10,50-99,公共部门,3,207,否
61500,秀兰市,男,无相关经验,全日制,硕士,理学,15,50-99,公共部门,从未,334,否
36025,秀珍县,男,有相关经验,无,高中,医学,14,<10,融资创业公司,1,78,否
230,汕尾县,女,有相关经验,非全日制,本科,医学,1,100-500,非政府组织,1,140,否
87900,桂芝市,男,有相关经验,非全日制,高中,无主修,4,100-500,早期创业公司,从未,35,否
10836,洋县,,有相关经验,无,高中,教育学,16,10-49,其他,2,304,否
58824,佛山市,,无相关经验,无,专科,哲学,19,50-99,其他,3,118,否
89422,六盘水市,女,有相关经验,全日制,高中,管理学,>20,<10,其他,从未,228,否
9624,梅县,,有相关经验,无,专科,哲学,5,10-49,早期创业公司,4,90,否
23749,冬梅县,男,无相关经验,无,专科,文学,19,100-500,私营公司,>4,183,否
24694,六盘水市,,无相关经验,全日制,专科,艺术学,12,50-99,公共部门,1,75,否
70883,畅县,,有相关经验,非全日制,本科,经济学,14,<10,公共部门,1,290,否
74071,淮安县,女,有相关经验,无,硕士,管理学,12,10-49,融资创业公司,3,143,否
59678,兴安盟县,女,无相关经验,非全日制,本科,无主修,15,<10,融资创业公司,3,180,否
53109,洋市,,无相关经验,无,专科,其他,7,100-500,公共部门,2,158,否
30800,亮市,男,有相关经验,全日制,本科,其他,7,10-49,其他,从未,11,否
44854,想县,,无相关经验,无,硕士,医学,19,10-49,融资创业公司,3,308,否
47091,楠市,女,有相关经验,全日制,高中,医学,2,10-49,非政府组织,从未,316,否
98911,银川市,女,有相关经验,无,硕士,教育学,18,10-49,公共部门,1,50,否
29682,通辽市,男,无相关经验,非全日制,硕士,哲学,17,10-49,公共部门,1,305,否
31512,梧州县,,有相关经验,无,高中,文学,4,<10,早期创业公司,3,141,否
72098,柳县,女,有相关经验,全日制,高中,其他,7,50-99,其他,2,301,否
89288,淮安市,男,有相关经验,无,高中,教育学,1,10-49,公共部门,>4,293,否
25131,丽华县,,有相关经验,无,硕士,理学,1,100-500,公共部门,3,316,是
72505,兵市,,无相关经验,无,本科,管理学,8,<10,公共部门,>4,48,否
39643,娜市,男,无相关经验,无,硕士,文学,16,50-99,私营公司,1,4,否
545,冬梅县,男,无相关经验,无,专科,其他,14,50-99,私营公司,2,123,否
97288,红梅县,,有相关经验,无,专科,历史学,9,<10,非政府组织,从未,161,否
23884,柳州市,女,无相关经验,全日制,本科,工程学,1,<10,其他,从未,277,否
94842,杨市,女,有相关经验,非全日制,硕士,哲学,16,<10,公共部门,2,207,否
57108,秀云市,女,有相关经验,全日制,硕士,理学,17,10-49,早期创业公司,3,210,是
27248,婷婷市,,无相关经验,非全日制,高中,历史学,<1,100-500,融资创业公司,1,52,否
29953,六盘水市,女,有相关经验,非全日制,本科,艺术学,10,10-49,早期创业公司,1,320,否
68700,合山县,女,有相关经验,非全日制,高中,经济学,19,<10,公共部门,4,323,否
37891,宁县,女,有相关经验,全日制,高中,工程学,9,100-500,融资创业公司,3,116,否
73381,倩市,男,有相关经验,非全日制,硕士,其他,11,50-99,融资创业公司,3,163,否
83935,马鞍山市,女,无相关经验,非全日制,专科,历史学,8,100-500,其他,1,104,否
87542,林县,,无相关经验,无,高中,历史学,14,10-49,其他,1,206,否
42854,关岭县,女,无相关经验,非全日制,高中,教育学,5,<10,早期创业公司,2,102,否
82696,兴城市,,有相关经验,无,专科,其他,7,50-99,早期创业公司,2,333,否
8987,晶市,男,无相关经验,无,高中,文学,2,50-99,早期创业公司,>4,165,否
85177,上海县,女,无相关经验,非全日制,硕士,文学,10,100-500,公共部门,1,149,否
78570,浩县,,有相关经验,无,硕士,工程学,<1,50-99,非政府组织,从未,278,是
71304,永安县,女,有相关经验,非全日制,硕士,管理学,16,<10,公共部门,>4,196,否
82603,上海县,,无相关经验,非全日制,高中,无主修,>20,<10,融资创业公司,1,110,否
58502,呼和浩特县,女,有相关经验,非全日制,本科,哲学,13,50-99,私营公司,>4,8,否
97253,佛山县,男,有相关经验,非全日制,硕士,教育学,>20,100-500,其他,4,266,否
56382,沈阳市,女,有相关经验,非全日制,高中,教育学,10,50-99,其他,4,266,否
22033,南京县,男,无相关经验,无,本科,无主修,12,100-500,融资创业公司,>4,329,否
26406,北镇县,男,无相关经验,非全日制,硕士,历史学,2,<10,早期创业公司,>4,243,否
24217,坤县,女,无相关经验,无,高中,历史学,14,50-99,融资创业公司,4,281,否
80729,春梅市,男,无相关经验,非全日制,专科,文学,<1,100-500,其他,4,202,否
28703,玉梅市,女,无相关经验,非全日制,硕士,其他,20,10-49,融资创业公司,3,307,否
41077,玉县,男,无相关经验,非全日制,本科,无主修,16,10-49,非政府组织,2,184,否
28971,洁县,,有相关经验,非全日制,硕士,文学,8,10-49,非政府组织,从未,184,否
77743,东莞市,,无相关经验,非全日制,本科,无主修,7,<10,私营公司,3,66,否
47992,玉兰县,男,无相关经验,无,专科,理学,3,10-49,私营公司,2,138,否
44709,红霞县,男,有相关经验,无,硕士,医学,14,<10,非政府组织,从未,213,否
7337,宜都县,,无相关经验,全日制,专科,工程学,2,50-99,非政府组织,3,92,否
27550,涛市,男,有相关经验,无,本科,教育学,3,<10,私营公司,3,17,否
35161,宜都县,男,无相关经验,全日制,专科,管理学,11,<10,融资创业公司,从未,285,否
65802,杭州县,女,无相关经验,非全日制,硕士,其他,<1,<10,融资创业公司,3,229,否
41994,佛山市,女,有相关经验,无,本科,其他,2,10-49,非政府组织,2,236,否
74611,西安县,,有相关经验,全日制,硕士,历史学,14,<10,早期创业公司,从未,165,否
34075,金凤市,,有相关经验,无,专科,无主修,11,50-99,其他,1,62,否
16674,瑜县,,无相关经验,全日制,本科,哲学,17,10-49,融资创业公司,4,289,否
31730,巢湖市,,有相关经验,非全日制,硕士,工程学,10,10-49,非政府组织,2,77,是
51703,淮安市,,无相关经验,无,硕士,哲学,16,100-500,私营公司,从未,199,否
9132,梅县,,无相关经验,全日制,专科,经济学,14,50-99,其他,3,169,否
66922,呼和浩特县,男,有相关经验,非全日制,本科,其他,5,<10,融资创业公司,>4,336,否
65291,拉萨县,男,有相关经验,非全日制,本科,理学,14,50-99,非政府组织,4,26,是
87405,台北市,,无相关经验,全日制,专科,哲学,<1,<10,私营公司,>4,32,否
22696,辽阳县,男,有相关经验,全日制,高中,医学,9,10-49,非政府组织,4,214,否
64688,关岭县,男,无相关经验,非全日制,高中,管理学,9,10-49,早期创业公司,>4,204,否
26692,帆市,男,有相关经验,非全日制,高中,管理学,6,10-49,融资创业公司,从未,60,否
39504,巢湖县,,有相关经验,非全日制,高中,历史学,17,100-500,融资创业公司,2,117,否
48280,兴安盟县,,无相关经验,全日制,高中,其他,19,<10,早期创业公司,>4,67,否
12179,银川市,,有相关经验,全日制,专科,医学,19,10-49,非政府组织,>4,58,否
16198,武汉县,,无相关经验,全日制,高中,经济学,20,10-49,早期创业公司,>4,310,否
52068,磊县,女,有相关经验,非全日制,专科,文学,18,<10,融资创业公司,从未,37,否
94236,长春市,女,无相关经验,无,硕士,理学,19,10-49,私营公司,从未,142,否
28967,重庆市,女,无相关经验,无,高中,工程学,15,10-49,其他,1,76,否
62474,雷市,女,无相关经验,无,专科,教育学,19,<10,私营公司,2,62,否
17253,乌鲁木齐市,,有相关经验,无,高中,理学,8,<10,私营公司,4,222,否
45434,柳州市,女,有相关经验,无,硕士,教育学,17,10-49,公共部门,1,190,否
54102,佛山县,,无相关经验,全日制,高中,艺术学,11,10-49,私营公司,>4,253,否
31567,洋县,男,有相关经验,全日制,高中,文学,4,100-500,非政府组织,>4,1,否
41165,邯郸县,女,有相关经验,非全日制,专科,工程学,15,10-49,其他,2,99,否
70677,广州县,男,无相关经验,非全日制,硕士,理学,3,<10,公共部门,4,325,否
34824,海口市,男,无相关经验,无,硕士,工程学,5,100-500,私营公司,3,162,否
69910,春梅市,男,无相关经验,非全日制,硕士,艺术学,9,10-49,融资创业公司,从未,319,否
99456,贵阳县,女,无相关经验,非全日制,硕士,无主修,19,100-500,融资创业公司,>4,84,否
50250,秀云市,男,有相关经验,全日制,专科,无主修,5,50-99,私营公司,从未,318,否
48594,丽华市,,无相关经验,无,硕士,艺术学,3,<10,私营公司,>4,96,否
79251,桂兰县,男,有相关经验,无,专科,工程学,5,50-99,其他,1,312,否
85071,巢湖市,女,有相关经验,非全日制,专科,理学,<1,100-500,融资创业公司,>4,206,否
88026,武汉市,男,无相关经验,无,硕士,艺术学,14,50-99,非政府组织,3,179,否
3362,红霞县,女,有相关经验,非全日制,专科,哲学,10,50-99,早期创业公司,1,13,否
85557,冬梅市,男,无相关经验,全日制,本科,工程学,10,10-49,非政府组织,从未,226,否
89394,峰县,女,无相关经验,无,专科,历史学,14,<10,融资创业公司,4,268,否
54242,武汉县,男,无相关经验,无,硕士,工程学,7,100-500,非政府组织,>4,198,否
3740,利市,,有相关经验,无,专科,艺术学,9,50-99,早期创业公司,从未,281,否
11584,淮安市,女,无相关经验,全日制,硕士,经济学,8,<10,早期创业公司,1,19,否
11281,岩市,女,有相关经验,非全日制,本科,理学,16,<10,私营公司,>4,108,是
46740,雪市,,无相关经验,非全日制,专科,其他,15,50-99,公共部门,3,142,否
21363,淑珍县,,有相关经验,非全日制,本科,医学,>20,50-99,非政府组织,3,218,否
58623,鹏县,男,有相关经验,全日制,专科,无主修,1,10-49,其他,1,72,否
90329,兴安盟市,,有相关经验,非全日制,本科,文学,12,<10,融资创业公司,>4,8,否
73287,哈尔滨县,,有相关经验,无,高中,经济学,15,<10,非政府组织,从未,91,否
58390,哈尔滨县,,无相关经验,全日制,本科,经济学,16,10-49,其他,从未,162,否
71121,淮安市,,无相关经验,全日制,专科,历史学,17,100-500,早期创业公司,2,58,否
53660,云县,女,有相关经验,无,本科,文学,19,100-500,私营公司,>4,59,否
60934,成县,,无相关经验,非全日制,硕士,管理学,9,100-500,融资创业公司,>4,137,否
17101,秀芳县,女,有相关经验,无,硕士,艺术学,3,50-99,早期创业公司,2,88,否
50319,淮安县,,有相关经验,全日制,本科,医学,19,10-49,其他,从未,32,否
71947,潜江市,,有相关经验,全日制,本科,医学,10,10-49,融资创业公司,1,46,否
22704,波市,女,有相关经验,全日制,专科,文学,12,100-500,公共部门,>4,234,否
93129,马鞍山县,男,有相关经验,非全日制,本科,哲学,<1,10-49,非政府组织,1,138,否
77594,辛集市,女,有相关经验,全日制,本科,医学,11,10-49,公共部门,3,6,否
63443,辛集县,女,有相关经验,无,硕士,理学,20,10-49,非政府组织,4,268,是
86044,北京市,,有相关经验,全日制,硕士,教育学,>20,<10,融资创业公司,3,14,否
11443,拉萨县,女,有相关经验,全日制,本科,经济学,20,<10,私营公司,2,226,否
78457,海门县,女,无相关经验,无,专科,文学,16,50-99,融资创业公司,2,32,否
71282,西宁市,男,无相关经验,全日制,本科,工程学,7,100-500,融资创业公司,4,16,否
17652,雪市,男,有相关经验,无,本科,经济学,13,<10,公共部门,1,138,否
86294,兰英县,女,有相关经验,非全日制,硕士,工程学,12,10-49,非政府组织,从未,18,是
57311,昆明市,,有相关经验,无,高中,无主修,>20,10-49,早期创业公司,4,132,否
7844,沈阳县,女,有相关经验,全日制,硕士,工程学,17,50-99,公共部门,3,209,是
37261,畅县,男,有相关经验,非全日制,硕士,艺术学,7,50-99,早期创业公司,4,334,否
48732,建华县,男,无相关经验,无,专科,无主修,3,<10,其他,4,107,否
35865,浩县,男,无相关经验,非全日制,硕士,无主修,2,100-500,非政府组织,2,47,否
84021,峰市,男,有相关经验,无,高中,文学,>20,50-99,早期创业公司,3,183,否
96974,北镇县,男,有相关经验,无,本科,无主修,15,10-49,融资创业公司,>4,267,否
11507,昆明市,女,有相关经验,非全日制,硕士,无主修,>20,100-500,私营公司,3,73,否
1141,宇县,男,无相关经验,非全日制,硕士,工程学,17,50-99,私营公司,4,309,否
53979,成都县,男,有相关经验,全日制,硕士,管理学,17,<10,私营公司,2,237,否
65929,霞市,男,无相关经验,全日制,硕士,管理学,4,<10,公共部门,3,39,否
71591,丹丹市,,无相关经验,无,专科,工程学,10,<10,非政府组织,4,256,否
67221,红梅市,女,无相关经验,非全日制,本科,工程学,9,<10,早期创业公司,1,333,否
11334,上海市,女,有相关经验,全日制,本科,工程学,18,10-49,非政府组织,2,327,是
56978,拉萨市,男,无相关经验,无,本科,历史学,6,<10,早期创业公司,4,174,否
44941,兴城市,,有相关经验,全日制,专科,艺术学,12,50-99,融资创业公司,从未,291,否
41250,敏县,男,无相关经验,非全日制,本科,无主修,10,50-99,早期创业公司,1,173,否
12764,帆县,男,无相关经验,全日制,专科,其他,6,10-49,非政府组织,3,18,否
65927,春梅市,,有相关经验,非全日制,高中,经济学,16,10-49,公共部门,3,271,否
41786,淮安市,女,无相关经验,无,高中,文学,6,10-49,早期创业公司,1,89,否
34663,建国市,男,无相关经验,全日制,硕士,教育学,7,10-49,非政府组织,2,309,否
78127,红霞市,,有相关经验,非全日制,本科,文学,14,50-99,非政府组织,3,83,否
95950,南京市,,无相关经验,无,硕士,其他,1,100-500,非政府组织,>4,60,否
16406,帆市,,无相关经验,非全日制,硕士,文学,10,<10,融资创业公司,4,228,否
13389,桂芝市,男,无相关经验,非全日制,本科,医学,15,10-49,早期创业公司,3,51,否
32467,荣市,男,有相关经验,非全日制,本科,医学,10,50-99,私营公司,4,312,否
40034,欢县,,无相关经验,非全日制,专科,理学,4,10-49,公共部门,从未,136,否
37810,拉萨市,,无相关经验,无,高中,历史学,19,10-49,其他,1,164,否
65019,南京市,女,有相关经验,无,高中,艺术学,19,<10,其他,从未,252,否
4105,阳县,女,无相关经验,全日制,专科,教育学,15,10-49,融资创业公司,2,127,否
55528,玉英县,女,有相关经验,无,硕士,工程学,12,100-500,其他,1,274,是
24455,建市,男,无相关经验,无,专科,历史学,7,<10,私营公司,1,96,否
8830,永安县,女,无相关经验,全日制,专科,教育学,17,<10,非政府组织,4,226,否
30893,桂英县,男,有相关经验,非全日制,硕士,理学,>20,<10,公共部门,从未,258,是
14772,桂英县,,有相关经验,全日制,高中,历史学,15,100-500,早期创业公司,2,100,否
70357,北镇县,女,有相关经验,无,专科,管理学,7,100-500,融资创业公司,从未,258,否
42567,平县,,有相关经验,非全日制,专科,艺术学,3,<10,融资创业公司,>4,88,否
9415,亮县,,无相关经验,非全日制,专科,理学,8,50-99,公共部门,4,297,否
58383,婷市,女,有相关经验,无,硕士,理学,9,100-500,其他,2,247,是
13373,龙市,女,有相关经验,非全日制,专科,医学,7,10-49,早期创业公司,3,334,否
72651,萍市,,无相关经验,全日制,专科,哲学,8,10-49,其他,2,74,否
75290,深圳市,,无相关经验,全日制,硕士,工程学,>20,<10,公共部门,1,109,否
80582,东莞市,男,有相关经验,非全日制,专科,历史学,20,50-99,私营公司,1,64,否
5563,兰州县,,有相关经验,非全日制,高中,理学,<1,100-500,私营公司,2,242,否
73180,玉兰县,女,有相关经验,全日制,本科,工程学,19,50-99,公共部门,从未,204,是
66986,佳县,女,无相关经验,非全日制,专科,教育学,14,100-500,非政府组织,4,83,否
64634,红市,女,有相关经验,全日制,硕士,工程学,18,50-99,私营公司,3,273,是
74298,邯郸市,,无相关经验,非全日制,高中,哲学,2,50-99,私营公司,2,236,否
25334,帆县,女,无相关经验,非全日制,本科,文学,4,50-99,私营公司,从未,169,否
51846,俊市,男,有相关经验,非全日制,硕士,经济学,6,<10,非政府组织,4,135,否
19823,拉萨县,男,有相关经验,无,硕士,理学,1,50-99,其他,从未,199,是
97478,石家庄县,,无相关经验,非全日制,硕士,其他,3,100-500,其他,4,37,否
52476,天津县,,无相关经验,非全日制,硕士,历史学,2,10-49,其他,3,147,否
14877,霞县,男,有相关经验,无,本科,医学,17,10-49,融资创业公司,>4,3,否
26243,楠县,男,有相关经验,非全日制,硕士,管理学,8,100-500,非政府组织,3,289,否
59340,西宁市,女,无相关经验,无,高中,教育学,18,50-99,公共部门,2,322,否
42996,深圳县,,有相关经验,无,高中,医学,4,50-99,非政府组织,2,94,否
23208,芳市,男,无相关经验,全日制,高中,医学,6,10-49,早期创业公司,3,18,否
49840,邯郸市,女,无相关经验,非全日制,高中,文学,20,10-49,公共部门,1,66,否
72151,香港市,,无相关经验,全日制,专科,理学,4,10-49,融资创业公司,3,293,否
49554,燕市,女,有相关经验,无,硕士,文学,20,100-500,早期创业公司,3,10,否
88859,瑜县,女,无相关经验,全日制,本科,教育学,8,100-500,私营公司,>4,311,否
4608,健县,女,无相关经验,全日制,本科,医学,14,50-99,早期创业公司,>4,319,否
6989,辽阳县,,有相关经验,全日制,高中,工程学,10,10-49,融资创业公司,2,188,否
31634,淮安县,,无相关经验,非全日制,本科,哲学,5,50-99,融资创业公司,4,14,否
18446,邯郸县,女,有相关经验,无,本科,文学,4,50-99,私营公司,2,9,否
76261,宜都县,男,无相关经验,无,硕士,管理学,11,10-49,其他,从未,81,否
17815,冬梅市,,有相关经验,非全日制,高中,经济学,9,10-49,早期创业公司,>4,61,否
24168,汕尾县,男,无相关经验,无,本科,艺术学,7,50-99,私营公司,1,177,否
65286,呼和浩特县,女,无相关经验,无,本科,工程学,10,<10,其他,3,110,否
2264,拉萨市,女,有相关经验,无,本科,无主修,20,100-500,其他,>4,28,否
79636,广州县,,有相关经验,全日制,高中,历史学,11,10-49,私营公司,从未,5,否
86267,林县,男,有相关经验,无,高中,理学,6,100-500,融资创业公司,2,249,否
71054,洋县,,有相关经验,非全日制,本科,管理学,3,100-500,公共部门,1,25,否
63728,俊县,男,有相关经验,全日制,专科,文学,4,<10,早期创业公司,2,197,否
9937,健县,,有相关经验,无,高中,经济学,12,10-49,公共部门,从未,218,否
48624,颖市,女,有相关经验,无,专科,无主修,2,100-500,私营公司,从未,192,否
72118,巢湖县,男,有相关经验,非全日制,高中,文学,20,10-49,公共部门,>4,325,否
25416,峰县,,有相关经验,非全日制,硕士,其他,9,100-500,融资创业公司,4,190,否
39237,平市,女,有相关经验,无,专科,理学,19,100-500,其他,>4,203,否
24137,荆门县,,有相关经验,非全日制,本科,艺术学,7,10-49,早期创业公司,从未,85,否
53775,六盘水县,女,有相关经验,无,专科,经济学,1,100-500,其他,>4,25,否
84527,南宁县,男,无相关经验,非全日制,本科,经济学,3,10-49,早期创业公司,从未,43,否
16452,南京县,男,有相关经验,非全日制,专科,医学,3,50-99,其他,4,183,否
75102,阜新市,男,无相关经验,全日制,专科,其他,20,<10,其他,2,297,否
81086,莉县,男,有相关经验,非全日制,本科,经济学,12,10-49,私营公司,1,265,否
73814,楠县,,有相关经验,非全日制,高中,理学,20,50-99,早期创业公司,>4,231,否
55739,六盘水县,男,无相关经验,无,专科,经济学,17,50-99,早期创业公司,2,79,否
93389,哈尔滨市,男,有相关经验,非全日制,硕士,医学,3,50-99,非政府组织,3,317,否
74808,武汉市,女,有相关经验,全日制,硕士,理学,10,100-500,早期创业公司,1,211,是
48896,北京市,,有相关经验,非全日制,高中,艺术学,>20,100-500,其他,2,156,否
20712,银川市,女,无相关经验,非全日制,硕士,历史学,7,50-99,融资创业公司,>4,292,否
