报名者编号,城市,性别,相关经验,报名大学,教育水平,主修学科,经验年限,公司规模,公司类型,最近一次新工作,培训时长
3821,淑华市,女,无相关经验,非全日制,高中,哲学,>20,10-49,融资创业公司,4,323
78696,杨市,男,有相关经验,非全日制,本科,工程学,6,50-99,非政府组织,3,159
72484,荆门县,其他,无相关经验,非全日制,博士,经济学,8,10000+,非政府组织,2,277
56929,玉梅市,女,有相关经验,非全日制,专科,理学,6,10000+,其他,从未,135
68487,太原县,女,无相关经验,无,博士,工程学,1,<10,公共部门,4,271
95316,娟县,其他,有相关经验,非全日制,博士,艺术学,2,10000+,非政府组织,从未,29
60472,深圳县,男,有相关经验,全日制,硕士,艺术学,1,1000-4999,融资创业公司,2,84
76331,明县,女,无相关经验,无,博士,艺术学,8,<10,早期创业公司,4,276
44464,敏市,男,有相关经验,非全日制,高中,教育学,11,1000-4999,融资创业公司,4,180
18853,兰州县,其他,无相关经验,无,高中,管理学,2,100-500,融资创业公司,1,100
9718,北镇市,男,无相关经验,非全日制,硕士,哲学,>20,5000-9999,早期创业公司,>4,45
11594,合肥县,其他,无相关经验,全日制,硕士,工程学,15,5000-9999,早期创业公司,2,22
40582,玉珍县,男,有相关经验,全日制,高中,经济学,17,100-500,公共部门,2,78
41068,柳州县,女,无相关经验,无,本科,经济学,3,50-99,私营公司,>4,286
74110,天津县,女,有相关经验,全日制,本科,经济学,20,1000-4999,公共部门,2,119
43868,海口市,男,有相关经验,无,高中,医学,10,<10,私营公司,3,90
38140,贵阳市,其他,无相关经验,全日制,硕士,管理学,2,50-99,早期创业公司,>4,147
99142,欣市,男,有相关经验,非全日制,高中,工程学,9,5000-9999,非政府组织,从未,273
33707,红梅县,其他,有相关经验,全日制,硕士,历史学,18,10-49,非政府组织,3,218
6354,海门市,男,无相关经验,无,专科,哲学,15,10-49,融资创业公司,1,87
81585,阜新市,其他,无相关经验,非全日制,博士,哲学,7,1000-4999,非政府组织,1,235
54679,瑜县,其他,有相关经验,全日制,本科,无主修,9,500-999,早期创业公司,>4,227
85523,阜新县,女,有相关经验,无,硕士,管理学,14,500-999,其他,>4,247
456,沈阳市,男,无相关经验,全日制,高中,理学,15,100-500,融资创业公司,从未,7
53470,武汉县,女,有相关经验,无,本科,文学,13,500-999,融资创业公司,4,127
18699,杭州县,其他,有相关经验,无,硕士,理学,12,5000-9999,早期创业公司,>4,324
85390,雪梅市,女,无相关经验,全日制,本科,教育学,11,10-49,融资创业公司,3,167
51996,六安县,其他,有相关经验,无,本科,无主修,10,<10,公共部门,>4,329
4864,红县,其他,无相关经验,无,博士,艺术学,<1,50-99,早期创业公司,3,154
56501,海口县,其他,有相关经验,无,博士,经济学,15,100-500,非政府组织,1,140
26551,慧县,男,无相关经验,无,专科,理学,19,10-49,融资创业公司,3,245
49181,秀云县,女,有相关经验,非全日制,博士,其他,19,10000+,公共部门,4,243
54509,桂花县,女,无相关经验,无,本科,理学,3,5000-9999,其他,1,152
52987,沈阳县,男,无相关经验,全日制,硕士,艺术学,2,10-49,非政府组织,3,165
8404,广州市,其他,有相关经验,非全日制,本科,工程学,8,1000-4999,非政府组织,3,219
38748,玲县,其他,无相关经验,全日制,硕士,医学,10,10-49,私营公司,4,4
91539,宁县,男,有相关经验,非全日制,高中,哲学,4,1000-4999,公共部门,3,232
89391,丽丽县,男,有相关经验,全日制,高中,艺术学,1,<10,其他,1,269
21062,辛集县,其他,有相关经验,无,专科,教育学,3,1000-4999,私营公司,2,81
10410,华市,女,有相关经验,全日制,硕士,其他,7,10000+,私营公司,>4,66
20527,杰市,男,有相关经验,全日制,本科,医学,15,1000-4999,融资创业公司,2,105
84609,旭县,其他,有相关经验,全日制,专科,工程学,6,10-49,私营公司,4,208
62556,西安市,男,有相关经验,全日制,本科,哲学,7,50-99,融资创业公司,4,74
52180,建国市,女,无相关经验,全日制,博士,教育学,10,500-999,公共部门,>4,161
84939,马鞍山县,女,无相关经验,全日制,本科,哲学,<1,10000+,融资创业公司,2,113
42112,秀荣市,其他,无相关经验,非全日制,专科,无主修,<1,10000+,融资创业公司,2,222
6632,玉梅市,男,无相关经验,非全日制,高中,理学,>20,10000+,非政府组织,从未,99
17223,杨县,男,有相关经验,非全日制,专科,经济学,11,1000-4999,公共部门,3,222
92339,健县,男,有相关经验,非全日制,高中,艺术学,<1,50-99,早期创业公司,从未,175
97744,瑞市,女,无相关经验,非全日制,专科,经济学,4,50-99,公共部门,从未,5
68507,倩县,女,有相关经验,全日制,高中,管理学,17,500-999,早期创业公司,2,308
88634,通辽县,其他,无相关经验,无,博士,经济学,<1,50-99,早期创业公司,>4,318
75097,玉市,男,有相关经验,全日制,硕士,其他,6,100-500,融资创业公司,2,178
87852,关岭市,女,有相关经验,全日制,博士,哲学,5,100-500,公共部门,>4,212
27686,汕尾县,男,有相关经验,非全日制,硕士,文学,14,500-999,早期创业公司,4,180
10723,沈阳市,男,无相关经验,无,专科,工程学,19,1000-4999,早期创业公司,从未,66
31276,乌鲁木齐县,男,无相关经验,全日制,高中,文学,9,50-99,私营公司,从未,114
21867,乌鲁木齐县,其他,无相关经验,全日制,博士,历史学,5,1000-4999,非政府组织,4,159
35697,合肥县,其他,无相关经验,无,高中,医学,16,10-49,私营公司,3,48
39205,贵阳市,女,有相关经验,非全日制,专科,工程学,5,10000+,私营公司,从未,317
26399,武汉市,男,无相关经验,非全日制,本科,无主修,9,5000-9999,私营公司,从未,142
2806,秀华市,女,有相关经验,无,高中,无主修,15,50-99,融资创业公司,从未,150
73819,杰市,男,有相关经验,全日制,硕士,艺术学,12,500-999,其他,4,273
38909,成县,女,无相关经验,全日制,高中,文学,19,<10,融资创业公司,>4,234
26279,永安市,女,无相关经验,非全日制,博士,管理学,15,100-500,非政府组织,2,35
31221,鹏市,女,无相关经验,全日制,专科,历史学,13,1000-4999,公共部门,4,4
17574,关岭县,女,无相关经验,全日制,专科,管理学,4,5000-9999,融资创业公司,从未,189
75059,岩市,其他,无相关经验,无,硕士,其他,1,10000+,早期创业公司,4,230
43705,长春市,女,无相关经验,无,本科,历史学,19,50-99,公共部门,3,101
34716,通辽县,女,无相关经验,无,高中,管理学,13,<10,公共部门,从未,310
32390,巢湖市,女,无相关经验,全日制,硕士,其他,20,10-49,早期创业公司,4,215
3893,潜江市,女,有相关经验,非全日制,高中,经济学,19,5000-9999,早期创业公司,从未,12
53156,荆门县,其他,有相关经验,无,本科,管理学,4,10000+,融资创业公司,4,18
97407,东县,女,有相关经验,非全日制,硕士,历史学,8,10000+,早期创业公司,2,64
71677,西宁县,男,有相关经验,全日制,硕士,管理学,15,10000+,私营公司,1,184
95028,海口县,其他,无相关经验,非全日制,高中,文学,1,10-49,其他,从未,36
73160,斌市,女,有相关经验,非全日制,高中,工程学,13,500-999,融资创业公司,2,198
52178,上海市,其他,有相关经验,无,专科,工程学,7,50-99,融资创业公司,>4,6
37057,桂香县,其他,有相关经验,非全日制,本科,艺术学,12,10000+,早期创业公司,从未,272
71538,林市,女,有相关经验,非全日制,专科,教育学,11,10-49,其他,>4,148
62591,桂芝市,女,无相关经验,非全日制,硕士,教育学,10,10-49,融资创业公司,1,65
33181,云市,女,有相关经验,非全日制,博士,艺术学,9,50-99,私营公司,从未,288
25791,长春县,其他,无相关经验,无,硕士,其他,8,1000-4999,非政府组织,从未,108
78308,宜都县,其他,有相关经验,非全日制,高中,经济学,15,<10,非政府组织,2,134
46139,永安市,男,无相关经验,无,硕士,艺术学,14,500-999,私营公司,从未,34
82656,志强县,男,有相关经验,非全日制,博士,理学,3,<10,私营公司,1,80
56167,梅市,男,无相关经验,全日制,本科,教育学,3,50-99,早期创业公司,4,243
51502,深圳市,男,有相关经验,无,本科,经济学,11,10-49,早期创业公司,4,307
22929,燕县,女,有相关经验,全日制,硕士,其他,5,100-500,融资创业公司,1,292
55340,兰州市,男,有相关经验,全日制,高中,工程学,8,10-49,非政府组织,>4,42
93050,长沙市,男,无相关经验,非全日制,高中,历史学,19,5000-9999,其他,从未,207
72781,帆市,男,无相关经验,全日制,高中,历史学,8,50-99,公共部门,2,272
140,莉县,男,有相关经验,全日制,高中,医学,8,10000+,其他,从未,28
81867,成都市,女,有相关经验,非全日制,博士,哲学,1,10000+,私营公司,2,89
45444,凤英县,男,有相关经验,全日制,本科,哲学,17,5000-9999,早期创业公司,3,263
74719,凯县,其他,无相关经验,非全日制,博士,文学,2,10000+,其他,3,318
80327,柳州市,其他,有相关经验,无,高中,经济学,7,<10,融资创业公司,从未,245
97244,璐县,女,无相关经验,无,硕士,经济学,10,500-999,公共部门,4,59
74207,娟县,女,无相关经验,非全日制,本科,艺术学,20,1000-4999,私营公司,1,41
16864,辛集县,其他,有相关经验,无,硕士,工程学,5,<10,融资创业公司,2,83
61307,淮安县,男,有相关经验,非全日制,博士,历史学,15,100-500,融资创业公司,2,122
74879,秀梅县,男,无相关经验,全日制,专科,医学,8,500-999,公共部门,3,180
42193,玉华市,其他,无相关经验,无,硕士,管理学,14,500-999,其他,3,267
87037,淮安县,女,有相关经验,无,专科,管理学,18,10-49,早期创业公司,>4,262
86042,秀英县,其他,无相关经验,全日制,博士,经济学,11,100-500,早期创业公司,从未,254
99242,西宁县,男,无相关经验,全日制,高中,教育学,<1,1000-4999,融资创业公司,4,170
73147,关岭县,男,有相关经验,全日制,博士,文学,9,50-99,其他,2,91
56994,惠州市,女,有相关经验,无,本科,无主修,6,500-999,其他,3,296
4206,成都市,男,无相关经验,非全日制,高中,文学,15,5000-9999,早期创业公司,1,200
87873,永安县,男,有相关经验,全日制,博士,无主修,17,10-49,早期创业公司,1,138
54084,合山市,男,无相关经验,全日制,硕士,无主修,7,10-49,非政府组织,从未,47
80807,英市,女,无相关经验,非全日制,高中,艺术学,9,50-99,其他,1,142
67155,昆明县,其他,有相关经验,全日制,硕士,理学,<1,500-999,融资创业公司,2,24
38500,沈阳市,其他,无相关经验,非全日制,博士,管理学,4,<10,其他,1,149
2246,嘉禾县,其他,有相关经验,全日制,硕士,艺术学,2,10000+,融资创业公司,1,158
87896,潜江县,女,有相关经验,无,高中,其他,10,50-99,融资创业公司,>4,4
64304,荆门县,其他,有相关经验,非全日制,高中,医学,>20,500-999,早期创业公司,2,15
12070,香港市,男,有相关经验,非全日制,本科,文学,5,10000+,早期创业公司,1,239
52221,东莞县,男,无相关经验,无,本科,教育学,10,5000-9999,融资创业公司,3,141
66998,凤兰市,男,无相关经验,全日制,高中,经济学,18,100-500,公共部门,3,102
65045,海燕市,女,无相关经验,全日制,硕士,其他,10,500-999,非政府组织,3,25
71752,桂芳市,男,无相关经验,无,博士,管理学,16,500-999,其他,1,97
26464,萍县,女,无相关经验,非全日制,专科,其他,5,1000-4999,早期创业公司,>4,104
18053,永安县,女,有相关经验,非全日制,高中,艺术学,18,100-500,其他,2,283
6100,玉梅市,其他,无相关经验,全日制,本科,管理学,19,1000-4999,融资创业公司,2,259
76242,兴城市,女,无相关经验,非全日制,硕士,无主修,16,500-999,早期创业公司,3,4
5764,佛山县,女,有相关经验,全日制,本科,工程学,19,<10,融资创业公司,4,216
81790,丹丹市,男,无相关经验,非全日制,硕士,理学,>20,100-500,其他,从未,247
54020,坤市,其他,有相关经验,全日制,高中,历史学,9,<10,私营公司,>4,315
75397,柳州县,其他,有相关经验,非全日制,专科,其他,5,500-999,非政府组织,2,280
97343,桂荣市,女,无相关经验,全日制,本科,哲学,16,10-49,融资创业公司,2,60
68354,西宁县,女,有相关经验,无,专科,文学,12,<10,公共部门,从未,150
74852,海口市,女,有相关经验,全日制,硕士,文学,1,100-500,融资创业公司,4,24
35149,西宁县,男,无相关经验,无,博士,医学,10,<10,非政府组织,1,268
80861,宜都市,其他,无相关经验,非全日制,高中,管理学,15,<10,私营公司,2,114
27486,六安县,女,无相关经验,全日制,硕士,历史学,6,10000+,公共部门,4,198
11991,玉华县,男,有相关经验,全日制,硕士,教育学,8,10000+,早期创业公司,>4,192
78882,邯郸市,女,有相关经验,非全日制,专科,历史学,8,<10,融资创业公司,2,283
29571,潜江市,其他,无相关经验,非全日制,博士,医学,17,10-49,私营公司,4,87
39312,瑞市,男,有相关经验,全日制,本科,教育学,9,5000-9999,非政府组织,4,50
85669,北京县,女,无相关经验,无,硕士,教育学,4,1000-4999,早期创业公司,从未,34
11164,英市,女,有相关经验,无,硕士,管理学,8,<10,早期创业公司,>4,192
45188,兰州县,其他,有相关经验,无,硕士,管理学,<1,5000-9999,其他,3,124
54487,深圳县,女,有相关经验,全日制,硕士,艺术学,<1,500-999,融资创业公司,2,122
98599,云县,其他,有相关经验,无,高中,管理学,15,5000-9999,融资创业公司,>4,332
33601,建华市,男,有相关经验,无,高中,无主修,9,<10,私营公司,1,140
84056,太原市,其他,有相关经验,全日制,博士,经济学,15,1000-4999,非政府组织,3,266
74566,沈阳县,男,有相关经验,全日制,硕士,工程学,8,50-99,其他,1,288
14305,兰州县,其他,有相关经验,全日制,高中,理学,17,50-99,私营公司,2,191
77666,丹市,男,有相关经验,非全日制,专科,其他,14,50-99,融资创业公司,>4,33
4694,关岭市,其他,有相关经验,非全日制,专科,教育学,18,10-49,公共部门,1,34
96343,超市,其他,无相关经验,非全日制,硕士,艺术学,16,100-500,早期创业公司,4,12
56028,丽县,男,无相关经验,无,高中,工程学,5,500-999,早期创业公司,>4,300
42946,秀芳市,女,有相关经验,无,高中,教育学,15,<10,非政府组织,1,313
53663,云县,其他,有相关经验,无,专科,经济学,10,5000-9999,私营公司,1,268
79139,涛市,男,有相关经验,无,本科,艺术学,18,5000-9999,其他,>4,228
39431,齐齐哈尔县,男,有相关经验,全日制,硕士,教育学,9,5000-9999,非政府组织,从未,298
99687,马鞍山市,其他,无相关经验,全日制,高中,理学,<1,500-999,早期创业公司,1,16
58738,雪梅市,男,有相关经验,全日制,博士,管理学,1,1000-4999,其他,4,155
11397,大冶县,其他,有相关经验,非全日制,专科,其他,3,10-49,早期创业公司,3,155
82145,想县,男,有相关经验,非全日制,硕士,历史学,12,50-99,早期创业公司,4,147
19507,广州县,其他,有相关经验,无,博士,其他,11,10-49,非政府组织,从未,112
73853,凤英市,男,有相关经验,非全日制,专科,经济学,>20,1000-4999,私营公司,1,251
89732,超县,男,有相关经验,非全日制,硕士,经济学,11,100-500,非政府组织,从未,200
95974,北京市,女,无相关经验,全日制,高中,教育学,17,5000-9999,早期创业公司,>4,334
76068,建军市,女,有相关经验,全日制,本科,无主修,15,1000-4999,其他,>4,184
99144,南宁市,其他,无相关经验,无,高中,文学,17,10-49,融资创业公司,3,30
84574,哈尔滨市,女,无相关经验,全日制,硕士,艺术学,16,10000+,融资创业公司,从未,157
86803,凤英市,男,无相关经验,无,博士,历史学,9,100-500,早期创业公司,3,269
57681,大冶县,其他,有相关经验,无,本科,管理学,20,10000+,非政府组织,3,162
94732,玉县,其他,无相关经验,非全日制,专科,工程学,10,10-49,早期创业公司,2,52
79675,天津县,女,有相关经验,全日制,高中,工程学,18,<10,公共部门,2,184
74331,六安县,其他,有相关经验,全日制,本科,历史学,14,50-99,公共部门,>4,55
3153,兵县,男,有相关经验,无,硕士,经济学,18,10-49,融资创业公司,从未,90
30501,平县,女,无相关经验,全日制,本科,理学,15,5000-9999,其他,2,67
85938,阜新市,男,无相关经验,无,硕士,医学,5,500-999,非政府组织,1,263
35621,婷婷县,女,无相关经验,无,专科,无主修,6,10000+,公共部门,>4,216
92228,小红县,女,无相关经验,全日制,博士,管理学,11,5000-9999,私营公司,4,190
27787,柳州市,女,有相关经验,无,专科,历史学,14,<10,融资创业公司,3,318
56437,南宁县,其他,无相关经验,无,博士,无主修,9,10000+,其他,2,263
1940,玉市,其他,无相关经验,非全日制,本科,工程学,8,5000-9999,公共部门,从未,150
38280,磊县,男,有相关经验,全日制,专科,艺术学,16,500-999,早期创业公司,4,188
61178,海门县,其他,无相关经验,全日制,本科,无主修,17,10-49,公共部门,2,35
36173,畅县,女,无相关经验,无,硕士,哲学,2,10-49,其他,从未,46
51311,兰州市,男,无相关经验,非全日制,专科,文学,11,10-49,融资创业公司,2,324
49235,西宁市,其他,无相关经验,全日制,本科,管理学,2,10000+,融资创业公司,3,38
70377,宜都市,男,有相关经验,非全日制,本科,哲学,9,100-500,私营公司,1,248
13360,通辽市,其他,无相关经验,无,专科,文学,19,5000-9999,早期创业公司,1,253
81224,南昌县,男,无相关经验,无,本科,艺术学,2,<10,其他,>4,245
57213,惠州市,女,有相关经验,全日制,本科,哲学,4,5000-9999,其他,4,5
52304,博县,男,无相关经验,非全日制,高中,管理学,8,10-49,私营公司,3,72
84788,长沙县,男,无相关经验,全日制,专科,文学,18,500-999,其他,1,186
10875,秀云市,女,无相关经验,无,高中,艺术学,7,10-49,公共部门,>4,17
19505,勇县,女,有相关经验,非全日制,高中,文学,12,<10,公共部门,2,266
71253,重庆县,其他,无相关经验,全日制,高中,艺术学,16,1000-4999,融资创业公司,3,81
2480,阳县,男,有相关经验,非全日制,硕士,其他,15,100-500,公共部门,1,97
34120,丹市,男,无相关经验,非全日制,高中,工程学,18,10-49,公共部门,1,60
85143,欣县,男,无相关经验,非全日制,本科,艺术学,19,10-49,私营公司,1,300
30844,颖县,女,无相关经验,全日制,专科,历史学,17,<10,融资创业公司,>4,46
95108,淑珍市,男,无相关经验,全日制,博士,哲学,<1,100-500,其他,>4,295
23274,福州市,女,有相关经验,全日制,高中,教育学,5,500-999,非政府组织,>4,317
77123,云县,女,无相关经验,全日制,硕士,教育学,1,10-49,融资创业公司,4,14
21170,贵阳县,其他,无相关经验,无,高中,工程学,12,10-49,公共部门,1,8
32094,合山县,其他,无相关经验,非全日制,博士,历史学,11,50-99,私营公司,3,232
33775,海门县,其他,无相关经验,非全日制,博士,医学,12,10000+,私营公司,从未,268
99113,梅市,其他,有相关经验,全日制,硕士,教育学,4,10-49,早期创业公司,2,13
7068,洁县,女,无相关经验,非全日制,高中,医学,4,10000+,非政府组织,4,69
80678,沈阳县,其他,无相关经验,全日制,本科,无主修,<1,<10,早期创业公司,1,287
31153,重庆县,男,有相关经验,非全日制,本科,哲学,9,<10,融资创业公司,3,77
36994,桂花市,女,有相关经验,全日制,硕士,文学,19,10-49,早期创业公司,1,33
64066,长春市,女,无相关经验,无,博士,管理学,10,50-99,融资创业公司,从未,326
78792,上海县,其他,有相关经验,全日制,本科,管理学,6,50-99,其他,3,52
56091,莉市,女,有相关经验,无,硕士,历史学,9,1000-4999,公共部门,>4,303
43946,利市,男,有相关经验,非全日制,博士,医学,15,<10,非政府组织,1,262
66957,北京县,男,有相关经验,非全日制,高中,理学,10,10-49,早期创业公司,3,29
87637,桂珍县,男,有相关经验,全日制,专科,教育学,13,10-49,非政府组织,1,82
21956,波市,女,无相关经验,无,本科,其他,11,5000-9999,私营公司,1,321
54967,雷市,女,有相关经验,无,博士,医学,9,1000-4999,其他,1,113
95747,秀珍市,女,有相关经验,非全日制,专科,经济学,4,50-99,融资创业公司,4,290
27155,永安市,女,有相关经验,全日制,博士,其他,19,5000-9999,其他,1,225
86479,秀荣市,其他,无相关经验,非全日制,博士,文学,12,50-99,其他,4,38
41008,坤市,女,无相关经验,全日制,专科,医学,15,50-99,融资创业公司,1,98
67762,玉珍县,其他,无相关经验,全日制,博士,理学,11,1000-4999,其他,4,103
44516,燕市,其他,无相关经验,非全日制,专科,其他,12,100-500,其他,>4,35
30014,宁德市,男,有相关经验,非全日制,博士,经济学,9,10000+,公共部门,3,43
8752,六安县,女,有相关经验,全日制,高中,艺术学,1,500-999,私营公司,3,99
99193,贵阳县,男,无相关经验,无,硕士,管理学,19,500-999,融资创业公司,3,205
2078,呼和浩特县,其他,有相关经验,无,本科,哲学,19,1000-4999,其他,4,174
25937,宁德市,其他,有相关经验,无,高中,无主修,5,500-999,公共部门,2,302
39164,巢湖县,女,无相关经验,全日制,硕士,哲学,12,1000-4999,早期创业公司,>4,261
50104,秀兰市,男,无相关经验,全日制,博士,经济学,9,50-99,公共部门,3,313
18266,马鞍山市,男,无相关经验,非全日制,专科,文学,4,500-999,非政府组织,3,123
55301,洁市,女,有相关经验,全日制,专科,工程学,4,1000-4999,早期创业公司,>4,195
50639,西安县,其他,有相关经验,非全日制,高中,医学,9,10-49,融资创业公司,4,97
56729,杨县,男,无相关经验,非全日制,专科,管理学,20,<10,私营公司,>4,58
32131,波县,女,无相关经验,全日制,高中,理学,18,10000+,其他,4,134
17873,红梅县,男,无相关经验,全日制,本科,历史学,5,50-99,早期创业公司,>4,320
70696,上海市,男,无相关经验,无,博士,哲学,10,50-99,非政府组织,4,290
20388,西安县,其他,无相关经验,全日制,高中,其他,4,1000-4999,非政府组织,4,36
62193,昆明市,女,有相关经验,非全日制,本科,理学,5,100-500,非政府组织,2,174
54129,丽华县,女,有相关经验,全日制,本科,无主修,5,5000-9999,非政府组织,4,298
29465,长春县,男,有相关经验,非全日制,本科,医学,2,1000-4999,其他,从未,182
23720,梧州县,女,无相关经验,全日制,高中,文学,5,500-999,融资创业公司,2,246
95708,沈阳市,男,有相关经验,无,专科,文学,7,10-49,融资创业公司,3,68
58072,合肥市,女,有相关经验,非全日制,高中,工程学,16,50-99,融资创业公司,从未,281
45947,健市,女,有相关经验,无,硕士,历史学,9,50-99,公共部门,>4,69
54166,潮州市,其他,无相关经验,无,专科,艺术学,16,50-99,私营公司,1,255
38461,秀芳县,其他,有相关经验,非全日制,高中,艺术学,10,100-500,融资创业公司,1,52
93101,桂芝县,其他,无相关经验,非全日制,专科,经济学,13,<10,早期创业公司,1,317
89472,春梅县,男,有相关经验,全日制,高中,哲学,3,5000-9999,私营公司,4,207
51443,南昌市,其他,无相关经验,非全日制,本科,理学,19,50-99,其他,从未,129
2904,武汉县,其他,有相关经验,无,高中,艺术学,13,5000-9999,公共部门,1,183
11554,畅市,女,无相关经验,全日制,高中,其他,17,5000-9999,融资创业公司,2,113
44154,深圳市,女,无相关经验,全日制,专科,工程学,7,1000-4999,早期创业公司,从未,106
93888,关岭市,其他,无相关经验,无,高中,其他,16,1000-4999,早期创业公司,>4,280
13944,合山县,男,无相关经验,无,本科,医学,15,10-49,其他,1,190
98233,成都县,其他,无相关经验,无,博士,医学,12,100-500,私营公司,>4,250
75032,华县,其他,无相关经验,全日制,高中,经济学,1,10000+,公共部门,>4,99
45466,雪县,其他,有相关经验,非全日制,硕士,其他,18,<10,公共部门,2,173
96376,淑兰县,男,有相关经验,无,本科,医学,16,1000-4999,私营公司,>4,60
20369,兴安盟县,女,有相关经验,非全日制,硕士,经济学,10,10000+,公共部门,>4,328
1644,银川市,其他,无相关经验,非全日制,博士,工程学,9,10-49,非政府组织,1,239
75390,金凤县,男,无相关经验,无,本科,管理学,14,5000-9999,公共部门,3,335
65409,长春县,其他,无相关经验,全日制,博士,理学,19,10-49,私营公司,4,206
57065,波县,其他,有相关经验,无,博士,其他,<1,<10,融资创业公司,从未,253
84655,永安市,男,有相关经验,全日制,博士,教育学,11,50-99,非政府组织,2,95
15560,亮市,女,无相关经验,无,博士,历史学,2,1000-4999,非政府组织,2,10
17513,建县,女,有相关经验,全日制,高中,教育学,15,500-999,非政府组织,2,18
43571,志强市,其他,有相关经验,无,高中,教育学,6,10000+,早期创业公司,3,267
94399,沈阳县,其他,有相关经验,非全日制,本科,教育学,17,1000-4999,公共部门,1,20
25050,婷婷市,女,无相关经验,全日制,硕士,教育学,19,50-99,融资创业公司,1,229
91520,六安市,女,无相关经验,全日制,本科,历史学,9,5000-9999,公共部门,1,219
62346,柳州县,女,有相关经验,非全日制,硕士,哲学,6,1000-4999,早期创业公司,从未,54
20128,辽阳市,男,无相关经验,全日制,博士,哲学,<1,10-49,融资创业公司,2,134
60993,琳市,女,有相关经验,全日制,高中,医学,18,10000+,早期创业公司,>4,314
6506,郑州县,其他,有相关经验,非全日制,博士,医学,3,1000-4999,私营公司,1,77
91850,上海市,其他,无相关经验,无,专科,其他,6,<10,私营公司,从未,142
61671,阜新县,其他,有相关经验,非全日制,本科,工程学,<1,50-99,非政府组织,4,258
67450,华县,女,无相关经验,非全日制,本科,医学,11,<10,公共部门,1,220
63645,丽县,女,无相关经验,无,博士,艺术学,5,10-49,其他,3,130
36073,郑州市,女,有相关经验,非全日制,博士,医学,3,50-99,非政府组织,4,47
93875,澳门县,其他,有相关经验,全日制,专科,管理学,20,1000-4999,早期创业公司,2,226
21255,伟县,女,有相关经验,全日制,硕士,其他,20,100-500,其他,3,138
52547,颖县,其他,有相关经验,非全日制,高中,经济学,14,10-49,私营公司,>4,254
68128,宁县,女,有相关经验,全日制,高中,经济学,2,1000-4999,公共部门,3,10
83633,淑珍市,其他,无相关经验,无,博士,历史学,>20,<10,非政府组织,1,329
84021,大冶县,女,无相关经验,无,博士,理学,8,5000-9999,私营公司,从未,315
67107,宇县,女,无相关经验,全日制,高中,管理学,12,5000-9999,公共部门,4,309
95479,想市,其他,有相关经验,全日制,本科,医学,15,500-999,其他,3,236
42517,柳州县,女,有相关经验,无,专科,无主修,5,50-99,私营公司,>4,272
31799,兴城县,其他,有相关经验,非全日制,硕士,艺术学,3,10000+,早期创业公司,4,33
13227,玉英县,男,有相关经验,非全日制,高中,医学,12,1000-4999,非政府组织,4,290
75784,林县,其他,无相关经验,非全日制,博士,其他,7,500-999,早期创业公司,从未,127
12169,阜新县,其他,无相关经验,非全日制,博士,医学,9,10000+,私营公司,3,92
99876,霞市,男,无相关经验,无,高中,哲学,8,100-500,融资创业公司,3,130
13804,秀华县,其他,有相关经验,全日制,高中,医学,12,50-99,其他,3,235
83326,宜都市,其他,有相关经验,无,硕士,医学,8,100-500,其他,3,116
47072,静县,男,有相关经验,无,博士,理学,5,50-99,融资创业公司,>4,193
42390,欢市,男,有相关经验,无,博士,文学,16,<10,公共部门,>4,174
6403,丹丹县,女,无相关经验,无,专科,教育学,17,1000-4999,融资创业公司,3,157
79408,秀兰市,女,有相关经验,非全日制,高中,艺术学,9,1000-4999,融资创业公司,2,202
88694,潮州县,男,无相关经验,无,专科,管理学,15,100-500,早期创业公司,>4,275
83913,雪梅市,女,有相关经验,非全日制,本科,历史学,7,10000+,早期创业公司,>4,66
90182,磊县,女,有相关经验,非全日制,本科,其他,5,500-999,非政府组织,3,85
52821,宁德市,男,有相关经验,无,高中,经济学,7,<10,早期创业公司,2,118
94598,宁德县,女,无相关经验,全日制,专科,管理学,12,5000-9999,早期创业公司,1,188
58078,香港县,其他,无相关经验,非全日制,高中,医学,12,50-99,早期创业公司,3,306
55944,强市,男,有相关经验,无,专科,其他,8,100-500,公共部门,4,36
30482,辉县,其他,有相关经验,全日制,本科,文学,>20,10-49,公共部门,1,252
89230,澳门市,男,无相关经验,非全日制,硕士,理学,11,50-99,非政府组织,>4,243
43100,峰县,其他,有相关经验,全日制,专科,哲学,11,10000+,其他,2,320
39957,宇市,女,有相关经验,全日制,本科,无主修,<1,100-500,非政府组织,4,107
15782,阜新市,男,无相关经验,无,专科,管理学,20,5000-9999,非政府组织,2,291
66735,波市,男,有相关经验,无,高中,其他,15,10000+,非政府组织,3,193
80649,潮州县,女,无相关经验,无,硕士,理学,20,50-99,融资创业公司,4,141
96228,贵阳市,女,有相关经验,非全日制,高中,管理学,12,10-49,融资创业公司,1,217
83401,哈尔滨市,其他,无相关经验,无,博士,理学,5,1000-4999,早期创业公司,>4,255
45297,亮市,女,无相关经验,无,博士,医学,9,1000-4999,非政府组织,4,66
90891,香港县,女,有相关经验,非全日制,硕士,经济学,14,100-500,公共部门,>4,100
38024,南昌县,其他,无相关经验,无,硕士,教育学,7,500-999,非政府组织,>4,167
58602,通辽县,女,无相关经验,无,博士,理学,5,1000-4999,其他,>4,253
89063,利县,其他,无相关经验,全日制,高中,管理学,>20,50-99,非政府组织,>4,132
78736,淑兰县,男,有相关经验,全日制,专科,历史学,4,10000+,公共部门,4,325
