city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
山西省,0.55,,有相关经验,未入学,本科,理工科,,10-49人,私营公司,,29,1.0
黑龙江省,0.92,男,无相关经验,全日制课程,高中,,,,,1年内,106,1.0
黑龙江省,0.92,男,有相关经验,未入学,博士,理工科,超过20年,10000人以上,私营公司,1年内,79,1.0
北京市,0.926,,有相关经验,未入学,硕士,理工科,超过20年,50-99人,,超过4年,55,0.0
浙江省,0.579,男,有相关经验,全日制课程,本科,理工科,,10-49人,私营公司,,83,1.0
广西壮族自治区,0.804,,有相关经验,全日制课程,硕士,理工科,,10-49人,私营公司,1年内,43,0.0
河北省,0.939,男,有相关经验,未入学,本科,理工科,,50-99人,融资创业公司,,81,0.0
山西省,0.939,男,有相关经验,未入学,本科,理工科,,少于10人,私营公司,超过4年,21,0.0
湖南省,0.92,男,有相关经验,未入学,本科,无专业,超过20年,100-500人,私营公司,,18,0.0
湖南省,0.92,男,有相关经验,未入学,硕士,理工科,,100-500人,,超过4年,77,0.0
重庆市,0.92,男,有相关经验,未入学,本科,理工科,超过20年,100-500人,私营公司,超过4年,27,0.0
山东省,0.92,男,有相关经验,未入学,本科,理工科,,1000-4999人,私营公司,1年内,9,0.0
内蒙古自治区,0.926,男,无相关经验,非全日制课程,硕士,理工科,超过20年,少于10人,融资创业公司,1年内,15,0.0
台湾省,0.92,男,有相关经验,全日制课程,本科,理工科,,1000-4999人,私营公司,,94,0.0
山西省,0.8959999999999999,男,无相关经验,未入学,高中,,,,,1年内,18,0.0
辽宁省,0.92,男,有相关经验,非全日制课程,本科,理工科,,1000-4999人,私营公司,,105,0.0
黑龙江省,0.855,,无相关经验,未入学,硕士,商学,,1000-4999人,私营公司,,15,0.0
黑龙江省,0.926,男,有相关经验,未入学,本科,理工科,,100-500人,私营公司,,3,0.0
江苏省,0.624,,有相关经验,未入学,硕士,理工科,,50-99人,私营公司,,57,1.0
重庆市,0.624,男,有相关经验,未入学,本科,理工科,,5000-9999人,私营公司,从未,7,1.0
澳门特别行政区,0.92,男,有相关经验,未入学,本科,文学,,,,1年内,104,0.0
香港特别行政区,0.855,男,有相关经验,全日制课程,高中,,,100-500人,,从未,2,0.0
广东省,0.624,男,有相关经验,全日制课程,本科,理工科,,10-49人,私营公司,1年内,17,0.0
江苏省,0.743,,无相关经验,非全日制课程,小学,,,50-99人,融资创业公司,1年内,44,1.0
西藏自治区,0.8270000000000001,男,有相关经验,非全日制课程,本科,理工科,,100-500人,非政府组织,1年内,94,0.0
云南省,0.84,,有相关经验,未入学,博士,理工科,超过20年,1000-4999人,私营公司,1年内,210,1.0
澳门特别行政区,0.926,男,无相关经验,未入学,高中,,,50-99人,私营公司,,121,0.0
宁夏回族自治区,0.624,男,有相关经验,未入学,硕士,理工科,,50-99人,私营公司,,86,0.0
新疆维吾尔自治区,0.727,,有相关经验,未入学,本科,理工科,,50-99人,私营公司,,254,0.0
宁夏回族自治区,0.92,男,有相关经验,未入学,本科,文学,超过20年,5000-9999人,非政府组织,超过4年,90,0.0
江苏省,0.92,男,有相关经验,未入学,硕士,人文学科,,,私营公司,超过4年,56,0.0
辽宁省,0.926,,有相关经验,未入学,硕士,理工科,,100-500人,私营公司,1年内,18,0.0
河南省,0.923,男,无相关经验,全日制课程,高中,,,,,从未,52,0.0
香港特别行政区,0.92,男,无相关经验,未入学,硕士,其他,,10000人以上,私营公司,超过4年,43,0.0
上海市,0.926,男,有相关经验,未入学,本科,无专业,超过20年,100-500人,私营公司,1年内,43,0.0
辽宁省,0.897,男,有相关经验,未入学,硕士,理工科,,10000人以上,私营公司,,27,0.0
甘肃省,0.913,男,有相关经验,未入学,博士,理工科,超过20年,100-500人,私营公司,1年内,43,1.0
河北省,0.698,男,无相关经验,全日制课程,本科,理工科,,,,1年内,19,1.0
云南省,0.579,,有相关经验,未入学,高中,,少于1年,,,从未,160,1.0
黑龙江省,0.92,男,有相关经验,未入学,本科,理工科,,50-99人,私营公司,超过4年,15,0.0
香港特别行政区,0.855,,有相关经验,未入学,硕士,理工科,,,,1年内,15,0.0
北京市,0.802,男,有相关经验,未入学,本科,无专业,,少于10人,私营公司,1年内,156,0.0
江西省,0.855,男,无相关经验,全日制课程,硕士,理工科,,,,,18,0.0
广东省,0.92,男,无相关经验,,高中,,,,,从未,61,1.0
宁夏回族自治区,0.92,,有相关经验,,本科,人文学科,超过20年,,,1年内,258,0.0
北京市,0.624,男,有相关经验,未入学,硕士,理工科,,10000人以上,私营公司,1年内,96,1.0
广西壮族自治区,0.91,男,有相关经验,未入学,本科,文学,,500-999人,非政府组织,1年内,14,0.0
陕西省,0.624,男,有相关经验,未入学,硕士,理工科,,5000-9999人,私营公司,,62,0.0
内蒙古自治区,0.92,女,有相关经验,未入学,本科,商学,,50-99人,私营公司,1年内,12,0.0
澳门特别行政区,0.926,男,有相关经验,未入学,本科,理工科,超过20年,100-500人,私营公司,超过4年,42,0.0
江西省,0.91,,有相关经验,未入学,本科,理工科,,5000-9999人,私营公司,1年内,92,0.0
湖北省,0.926,男,无相关经验,全日制课程,本科,理工科,,,,1年内,20,0.0
广西壮族自治区,0.855,男,有相关经验,全日制课程,本科,理工科,,10000人以上,私营公司,1年内,34,0.0
广西壮族自治区,0.91,男,有相关经验,未入学,硕士,理工科,超过20年,500-999人,私营公司,超过4年,47,0.0
天津市,0.92,男,有相关经验,未入学,本科,理工科,超过20年,50-99人,融资创业公司,,61,0.0
天津市,0.624,男,有相关经验,未入学,硕士,理工科,,1000-4999人,私营公司,超过4年,168,1.0
安徽省,0.698,,有相关经验,全日制课程,本科,理工科,,10-49人,私营公司,1年内,50,1.0
辽宁省,0.913,,有相关经验,未入学,,,,1000-4999人,私营公司,超过4年,23,1.0
江西省,0.698,男,无相关经验,全日制课程,博士,理工科,超过20年,10000人以上,公共部门,超过4年,3,0.0
澳门特别行政区,0.887,,有相关经验,未入学,高中,,,50-99人,私营公司,1年内,30,0.0
澳门特别行政区,0.74,女,有相关经验,全日制课程,本科,理工科,,10-49人,私营公司,从未,73,0.0
吉林省,0.92,男,有相关经验,未入学,本科,理工科,超过20年,,,1年内,37,1.0
湖南省,0.92,男,无相关经验,未入学,硕士,无专业,超过20年,,,超过4年,8,0.0
天津市,0.855,男,有相关经验,未入学,硕士,理工科,,50-99人,私营公司,,70,0.0
河北省,0.897,,有相关经验,未入学,博士,理工科,,少于10人,融资创业公司,,5,0.0
上海市,0.92,男,有相关经验,未入学,本科,理工科,,10000人以上,私营公司,超过4年,7,0.0
重庆市,0.939,男,有相关经验,未入学,硕士,理工科,,少于10人,私营公司,,86,0.0
甘肃省,0.698,,有相关经验,全日制课程,本科,理工科,,少于10人,私营公司,1年内,12,1.0
北京市,0.92,其他,有相关经验,未入学,本科,人文学科,少于1年,50-99人,融资创业公司,1年内,56,0.0
湖南省,0.92,男,无相关经验,未入学,小学,,,,,从未,30,0.0
新疆维吾尔自治区,0.802,男,无相关经验,全日制课程,高中,,,10-49人,初创公司,1年内,34,1.0
山西省,0.763,男,有相关经验,未入学,本科,理工科,,少于10人,融资创业公司,1年内,86,0.0
辽宁省,0.924,男,有相关经验,未入学,本科,理工科,,50-99人,私营公司,1年内,232,0.0
澳门特别行政区,0.92,男,无相关经验,未入学,硕士,理工科,,1000-4999人,私营公司,1年内,90,0.0
浙江省,0.92,,有相关经验,未入学,本科,理工科,超过20年,,,超过4年,6,0.0
四川省,0.767,,无相关经验,,高中,,,,,1年内,32,1.0
陕西省,0.92,男,有相关经验,未入学,博士,理工科,,100-500人,私营公司,,22,0.0
内蒙古自治区,0.55,,有相关经验,未入学,本科,商学,,50-99人,私营公司,1年内,66,1.0
安徽省,0.91,女,无相关经验,未入学,本科,理工科,少于1年,50-99人,非政府组织,,48,0.0
江苏省,0.92,,有相关经验,未入学,本科,理工科,超过20年,1000-4999人,私营公司,,130,0.0
内蒙古自治区,0.92,男,无相关经验,全日制课程,本科,理工科,,,,1年内,100,1.0
重庆市,0.897,男,有相关经验,未入学,硕士,理工科,,50-99人,其他,,64,0.0
内蒙古自治区,0.91,男,有相关经验,未入学,本科,人文学科,,500-999人,融资创业公司,从未,28,0.0
河北省,0.624,男,有相关经验,未入学,本科,理工科,,10000人以上,私营公司,从未,64,1.0
山西省,0.92,男,有相关经验,未入学,本科,理工科,,,,,21,1.0
吉林省,0.884,男,有相关经验,未入学,硕士,理工科,,10-49人,私营公司,,24,0.0
西藏自治区,0.92,,无相关经验,未入学,高中,,少于1年,,,从未,94,0.0
陕西省,0.856,男,无相关经验,未入学,博士,理工科,,,,1年内,50,0.0
湖北省,0.887,,有相关经验,未入学,高中,,,50-99人,私营公司,1年内,92,0.0
上海市,0.624,男,无相关经验,全日制课程,硕士,理工科,,,,从未,40,0.0
湖南省,0.624,,无相关经验,全日制课程,高中,,,,,从未,15,1.0
湖南省,0.903,男,有相关经验,未入学,本科,人文学科,超过20年,少于10人,私营公司,超过4年,18,0.0
重庆市,0.624,男,有相关经验,未入学,本科,理工科,,,,1年内,94,1.0
上海市,0.866,男,有相关经验,全日制课程,本科,理工科,,10-49人,私营公司,1年内,44,0.0
陕西省,0.624,男,无相关经验,全日制课程,高中,,,,,1年内,105,1.0
安徽省,0.939,男,有相关经验,未入学,硕士,人文学科,,1000-4999人,私营公司,,12,0.0
江苏省,0.624,,有相关经验,未入学,本科,理工科,,10000人以上,非政府组织,从未,9,1.0
北京市,0.92,男,无相关经验,未入学,,,少于1年,,,从未,79,0.0
山西省,0.92,男,无相关经验,非全日制课程,本科,理工科,,100-500人,非政府组织,1年内,70,0.0
江西省,0.6890000000000001,男,有相关经验,全日制课程,硕士,理工科,,50-99人,非政府组织,超过4年,105,0.0
山西省,0.579,男,无相关经验,全日制课程,高中,,,,私营公司,从未,78,0.0
湖南省,0.91,,有相关经验,全日制课程,本科,其他,,,,1年内,6,0.0
山东省,0.887,男,有相关经验,未入学,本科,理工科,,少于10人,私营公司,,27,0.0
安徽省,0.624,,有相关经验,未入学,本科,理工科,,50-99人,,1年内,174,1.0
西藏自治区,0.92,男,有相关经验,未入学,本科,理工科,,500-999人,私营公司,,212,0.0
河北省,0.762,男,有相关经验,未入学,硕士,理工科,超过20年,50-99人,,超过4年,13,0.0
新疆维吾尔自治区,0.91,男,有相关经验,未入学,本科,理工科,超过20年,10000人以上,公共部门,1年内,41,0.0
新疆维吾尔自治区,0.92,男,无相关经验,全日制课程,本科,理工科,,,,从未,4,0.0
湖南省,0.743,,有相关经验,未入学,硕士,理工科,,50-99人,私营公司,超过4年,112,0.0
陕西省,0.698,女,有相关经验,未入学,本科,理工科,,50-99人,私营公司,1年内,88,0.0
安徽省,0.55,男,有相关经验,非全日制课程,本科,理工科,,,,1年内,13,0.0
云南省,0.698,男,无相关经验,全日制课程,高中,,,,,,18,0.0
福建省,0.92,,有相关经验,未入学,硕士,理工科,超过20年,50-99人,私营公司,,85,0.0
山西省,0.579,,无相关经验,全日制课程,高中,,,,,,102,1.0
重庆市,0.91,,无相关经验,未入学,高中,,,,,,42,0.0
湖北省,0.8959999999999999,,无相关经验,全日制课程,本科,理工科,,,,从未,35,1.0
江西省,0.92,男,无相关经验,未入学,本科,理工科,,,,从未,42,1.0
北京市,0.92,男,有相关经验,未入学,本科,理工科,,少于10人,私营公司,,2,0.0
福建省,0.925,男,无相关经验,未入学,硕士,人文学科,超过20年,,,超过4年,5,0.0
香港特别行政区,0.92,男,有相关经验,未入学,本科,无专业,,50-99人,融资创业公司,1年内,130,0.0
上海市,0.866,男,有相关经验,未入学,本科,理工科,超过20年,,,,47,1.0
江西省,0.939,男,有相关经验,未入学,硕士,理工科,,10000人以上,私营公司,1年内,332,0.0
河北省,0.92,男,有相关经验,未入学,本科,理工科,,10-49人,私营公司,1年内,85,0.0
山西省,0.624,男,有相关经验,未入学,本科,理工科,,,,1年内,68,1.0
宁夏回族自治区,0.92,男,有相关经验,未入学,本科,理工科,,,,1年内,113,0.0
广西壮族自治区,0.92,男,无相关经验,非全日制课程,本科,理工科,,10000人以上,私营公司,,24,0.0
贵州省,0.743,,有相关经验,全日制课程,本科,理工科,,50-99人,私营公司,1年内,107,0.0
江苏省,0.624,男,有相关经验,未入学,本科,理工科,,500-999人,私营公司,1年内,26,1.0
江苏省,0.899,男,有相关经验,未入学,高中,,,100-500人,私营公司,从未,30,0.0
甘肃省,0.92,男,有相关经验,未入学,本科,理工科,,500-999人,私营公司,超过4年,21,0.0
广东省,0.5579999999999999,男,有相关经验,未入学,本科,理工科,,100-500人,私营公司,1年内,248,0.0
江苏省,0.866,,无相关经验,全日制课程,高中,,少于1年,,,从未,64,0.0
山西省,0.92,男,无相关经验,未入学,本科,理工科,超过20年,1000-4999人,私营公司,超过4年,47,0.0
宁夏回族自治区,0.899,男,有相关经验,未入学,本科,理工科,,50-99人,私营公司,1年内,155,1.0
吉林省,0.855,女,无相关经验,全日制课程,硕士,理工科,,,,超过4年,78,0.0
河北省,0.624,,无相关经验,全日制课程,本科,理工科,少于1年,,,,18,1.0
四川省,0.91,男,有相关经验,未入学,博士,理工科,超过20年,100-500人,融资创业公司,,44,0.0
广东省,0.624,男,有相关经验,未入学,本科,理工科,,少于10人,私营公司,1年内,80,0.0
湖北省,0.92,男,有相关经验,未入学,本科,理工科,超过20年,100-500人,私营公司,超过4年,55,0.0
香港特别行政区,0.855,,有相关经验,未入学,硕士,理工科,,50-99人,,1年内,9,0.0
海南省,0.91,男,有相关经验,未入学,本科,理工科,超过20年,,,1年内,91,0.0
山东省,0.802,男,无相关经验,未入学,本科,理工科,超过20年,500-999人,私营公司,,80,0.0
四川省,0.624,男,有相关经验,未入学,本科,理工科,,10000人以上,私营公司,1年内,43,1.0
江苏省,0.939,,有相关经验,未入学,硕士,理工科,,10000人以上,私营公司,从未,109,0.0
安徽省,0.926,男,有相关经验,全日制课程,本科,理工科,,100-500人,私营公司,1年内,111,0.0
湖北省,0.91,男,有相关经验,未入学,本科,理工科,,,,,75,0.0
江苏省,0.91,男,有相关经验,未入学,本科,理工科,超过20年,,,超过4年,7,0.0
福建省,0.926,男,有相关经验,未入学,硕士,理工科,,1000-4999人,私营公司,1年内,88,0.0
江西省,0.92,男,无相关经验,未入学,本科,理工科,,,,,140,1.0
云南省,0.92,男,有相关经验,未入学,本科,理工科,超过20年,,,,23,0.0
江苏省,0.624,男,有相关经验,未入学,硕士,理工科,,少于10人,融资创业公司,,26,0.0
海南省,0.91,男,无相关经验,全日制课程,高中,,,,,从未,20,0.0
河北省,0.682,男,有相关经验,全日制课程,本科,理工科,,,,1年内,45,1.0
内蒙古自治区,0.804,男,有相关经验,未入学,硕士,理工科,,50-99人,私营公司,1年内,76,0.0
四川省,0.92,,无相关经验,全日制课程,本科,理工科,,,,1年内,43,0.0
安徽省,0.743,男,有相关经验,未入学,本科,理工科,,1000-4999人,私营公司,1年内,42,0.0
江西省,0.855,男,无相关经验,未入学,硕士,理工科,,10000人以上,私营公司,1年内,6,0.0
山西省,0.738,,有相关经验,,本科,理工科,,100-500人,,,134,0.0
福建省,0.949,男,有相关经验,未入学,硕士,理工科,,100-500人,私营公司,1年内,67,0.0
内蒙古自治区,0.55,男,有相关经验,未入学,硕士,理工科,,50-99人,非政府组织,1年内,6,0.0
河南省,0.92,男,有相关经验,未入学,硕士,人文学科,,100-500人,私营公司,,68,0.0
山西省,0.55,男,无相关经验,全日制课程,本科,人文学科,,,,1年内,33,1.0
北京市,0.802,男,有相关经验,未入学,本科,理工科,,5000-9999人,私营公司,1年内,107,0.0
广东省,0.624,男,无相关经验,全日制课程,高中,,,,,1年内,8,0.0
浙江省,0.939,,无相关经验,全日制课程,高中,,,1000-4999人,私营公司,1年内,52,0.0
广西壮族自治区,0.884,男,有相关经验,未入学,硕士,理工科,,50-99人,私营公司,超过4年,10,0.0
江西省,0.92,,有相关经验,未入学,本科,商学,,,,从未,34,0.0
香港特别行政区,0.926,男,无相关经验,未入学,高中,,,,,从未,31,0.0
新疆维吾尔自治区,0.92,男,有相关经验,未入学,硕士,理工科,超过20年,100-500人,私营公司,超过4年,128,0.0
广西壮族自治区,0.624,男,无相关经验,未入学,本科,理工科,,10000人以上,私营公司,超过4年,23,1.0
贵州省,0.624,男,有相关经验,未入学,硕士,理工科,,5000-9999人,私营公司,超过4年,67,1.0
内蒙古自治区,0.8959999999999999,男,有相关经验,未入学,硕士,理工科,,5000-9999人,私营公司,超过4年,43,0.0
河北省,0.92,女,有相关经验,未入学,本科,理工科,,10000人以上,私营公司,,320,0.0
新疆维吾尔自治区,0.924,男,有相关经验,未入学,本科,理工科,,1000-4999人,私营公司,,81,0.0
新疆维吾尔自治区,0.926,,有相关经验,未入学,硕士,理工科,,5000-9999人,私营公司,1年内,19,0.0
北京市,0.624,,有相关经验,未入学,本科,理工科,,10000人以上,私营公司,1年内,56,1.0
河南省,0.8959999999999999,男,有相关经验,未入学,本科,理工科,,,,1年内,66,0.0
宁夏回族自治区,0.92,男,有相关经验,未入学,本科,其他,超过20年,50-99人,其他,1年内,127,0.0
贵州省,0.92,女,无相关经验,全日制课程,本科,人文学科,,,,1年内,42,1.0
黑龙江省,0.92,男,有相关经验,未入学,本科,文学,,,,超过4年,31,1.0
河北省,0.698,男,无相关经验,未入学,本科,理工科,,50-99人,私营公司,1年内,65,0.0
青海省,0.855,男,有相关经验,未入学,硕士,理工科,,,,1年内,28,0.0
江苏省,0.624,男,无相关经验,全日制课程,高中,,,,,从未,68,0.0
湖南省,0.855,男,有相关经验,未入学,高中,,,少于10人,私营公司,1年内,62,0.0
重庆市,0.897,男,有相关经验,未入学,硕士,理工科,,100-500人,私营公司,从未,3,0.0
宁夏回族自治区,0.698,,无相关经验,全日制课程,本科,理工科,,,,从未,112,1.0
江苏省,0.6659999999999999,,有相关经验,未入学,本科,理工科,超过20年,10-49人,其他,超过4年,13,0.0
青海省,0.91,男,有相关经验,未入学,博士,理工科,,少于10人,私营公司,1年内,11,0.0
湖北省,0.624,男,无相关经验,全日制课程,本科,理工科,,50-99人,私营公司,1年内,260,1.0
重庆市,0.893,,有相关经验,非全日制课程,本科,理工科,,50-99人,私营公司,,54,0.0
台湾省,0.762,,有相关经验,未入学,硕士,理工科,,1000-4999人,私营公司,,42,0.0
福建省,0.897,男,有相关经验,非全日制课程,硕士,理工科,,50-99人,私营公司,1年内,44,0.0
上海市,0.926,男,无相关经验,全日制课程,高中,,,5000-9999人,私营公司,1年内,65,0.0
北京市,0.92,男,有相关经验,未入学,硕士,理工科,,10000人以上,私营公司,,16,0.0
甘肃省,0.903,,有相关经验,未入学,,,超过20年,10-49人,,,50,0.0
西藏自治区,0.682,女,有相关经验,全日制课程,本科,理工科,,,,,101,1.0
云南省,0.92,男,有相关经验,未入学,本科,理工科,,10000人以上,私营公司,1年内,64,0.0
湖北省,0.878,,有相关经验,未入学,本科,理工科,超过20年,,,超过4年,15,0.0
湖北省,0.897,,无相关经验,全日制课程,本科,理工科,,少于10人,初创公司,,320,0.0
安徽省,0.6890000000000001,女,有相关经验,未入学,本科,理工科,,100-500人,融资创业公司,1年内,11,0.0
甘肃省,0.926,男,有相关经验,非全日制课程,本科,理工科,,50-99人,私营公司,1年内,36,1.0
福建省,0.887,男,无相关经验,未入学,高中,,,,,从未,10,0.0
澳门特别行政区,0.624,男,无相关经验,未入学,高中,,,,,从未,81,0.0
新疆维吾尔自治区,0.923,女,有相关经验,未入学,硕士,人文学科,,100-500人,公共部门,,48,0.0
山西省,0.624,,无相关经验,全日制课程,高中,,,,,1年内,12,0.0
广东省,0.92,男,有相关经验,未入学,硕士,理工科,超过20年,100-500人,私营公司,,26,0.0
江苏省,0.91,男,有相关经验,未入学,硕士,理工科,超过20年,,,1年内,51,0.0
香港特别行政区,0.6890000000000001,男,有相关经验,非全日制课程,本科,理工科,,,,1年内,18,1.0
新疆维吾尔自治区,0.754,男,有相关经验,非全日制课程,本科,理工科,,100-500人,私营公司,1年内,106,0.0
北京市,0.926,男,有相关经验,未入学,博士,理工科,超过20年,10000人以上,私营公司,超过4年,58,0.0
云南省,0.923,男,无相关经验,全日制课程,本科,理工科,,,,1年内,236,0.0
陕西省,0.897,男,有相关经验,未入学,本科,理工科,,10-49人,私营公司,1年内,113,0.0
广西壮族自治区,0.913,男,有相关经验,未入学,硕士,理工科,超过20年,少于10人,私营公司,超过4年,80,0.0
福建省,0.92,,有相关经验,非全日制课程,本科,理工科,,,公共部门,1年内,47,0.0
浙江省,0.897,男,有相关经验,未入学,本科,理工科,,50-99人,私营公司,超过4年,153,0.0
浙江省,0.624,男,有相关经验,未入学,本科,理工科,,1000-4999人,私营公司,,28,1.0
澳门特别行政区,0.8270000000000001,男,有相关经验,未入学,本科,理工科,超过20年,,,超过4年,61,0.0
山西省,0.624,,有相关经验,全日制课程,本科,理工科,,1000-4999人,私营公司,,48,0.0
内蒙古自治区,0.754,男,有相关经验,未入学,本科,理工科,,100-500人,私营公司,1年内,96,0.0
山西省,0.926,男,有相关经验,未入学,本科,理工科,超过20年,100-500人,私营公司,超过4年,54,0.0
四川省,0.949,男,有相关经验,未入学,硕士,理工科,超过20年,50-99人,私营公司,1年内,34,0.0
陕西省,0.92,男,无相关经验,全日制课程,本科,理工科,,,,1年内,190,0.0
湖北省,0.92,男,有相关经验,未入学,本科,理工科,超过20年,100-500人,融资创业公司,1年内,6,0.0
澳门特别行政区,0.91,男,有相关经验,未入学,本科,文学,,10-49人,融资创业公司,1年内,114,0.0
天津市,0.926,男,有相关经验,全日制课程,硕士,文学,,50-99人,私营公司,,37,0.0
云南省,0.92,男,有相关经验,未入学,本科,理工科,超过20年,10000人以上,私营公司,,64,0.0
上海市,0.92,男,有相关经验,未入学,硕士,理工科,,100-500人,私营公司,,17,0.0
青海省,0.897,,无相关经验,,,,,,,,222,0.0
江苏省,0.92,男,有相关经验,未入学,本科,理工科,超过20年,,,超过4年,226,1.0
黑龙江省,0.92,男,有相关经验,全日制课程,本科,理工科,,10000人以上,私营公司,,101,0.0
澳门特别行政区,0.92,男,有相关经验,未入学,硕士,理工科,,100-500人,私营公司,1年内,22,1.0
河北省,0.92,女,有相关经验,未入学,博士,理工科,超过20年,500-999人,非政府组织,超过4年,170,0.0
吉林省,0.92,男,有相关经验,未入学,本科,理工科,超过20年,50-99人,私营公司,,276,0.0
云南省,0.92,男,有相关经验,未入学,本科,人文学科,超过20年,50-99人,其他,1年内,51,0.0
重庆市,0.92,男,有相关经验,未入学,高中,,,50-99人,私营公司,1年内,95,0.0
天津市,0.926,男,有相关经验,未入学,硕士,理工科,超过20年,100-500人,私营公司,超过4年,74,0.0
河南省,0.926,男,有相关经验,未入学,本科,理工科,超过20年,少于10人,初创公司,,96,0.0
浙江省,0.92,男,无相关经验,未入学,本科,理工科,,100-500人,融资创业公司,1年内,17,0.0
内蒙古自治区,0.884,男,有相关经验,未入学,本科,理工科,,50-99人,融资创业公司,1年内,81,0.0
青海省,0.624,,无相关经验,未入学,本科,理工科,,500-999人,,从未,46,0.0
福建省,0.893,男,有相关经验,未入学,硕士,理工科,,,,超过4年,102,0.0
江苏省,0.92,男,有相关经验,非全日制课程,本科,其他,,10-49人,私营公司,,70,0.0
青海省,0.91,男,无相关经验,未入学,本科,理工科,超过20年,50-99人,融资创业公司,1年内,89,0.0
贵州省,0.897,男,无相关经验,未入学,本科,理工科,,100-500人,私营公司,超过4年,58,0.0
黑龙江省,0.91,男,有相关经验,未入学,硕士,理工科,,1000-4999人,私营公司,,104,0.0
河南省,0.92,男,有相关经验,未入学,本科,理工科,,少于10人,私营公司,,45,0.0
西藏自治区,0.91,,有相关经验,全日制课程,本科,理工科,,10-49人,私营公司,1年内,109,0.0
澳门特别行政区,0.866,男,有相关经验,未入学,本科,理工科,,100-500人,私营公司,超过4年,109,0.0
黑龙江省,0.92,男,无相关经验,全日制课程,本科,理工科,,10000人以上,,1年内,12,1.0
甘肃省,0.579,,无相关经验,未入学,高中,,,,,1年内,20,1.0
福建省,0.91,男,有相关经验,未入学,本科,理工科,,500-999人,私营公司,1年内,3,0.0
辽宁省,0.804,男,有相关经验,非全日制课程,硕士,理工科,,100-500人,私营公司,,44,0.0
河南省,0.92,女,无相关经验,未入学,本科,人文学科,,,,超过4年,7,1.0
甘肃省,0.624,男,有相关经验,全日制课程,硕士,理工科,少于1年,,,1年内,12,0.0
台湾省,0.92,男,无相关经验,未入学,硕士,理工科,超过20年,50-99人,私营公司,,96,0.0
广东省,0.92,男,有相关经验,未入学,,,,,,,62,0.0
广西壮族自治区,0.624,,有相关经验,未入学,本科,理工科,少于1年,100-500人,,1年内,84,1.0
江西省,0.516,男,有相关经验,未入学,本科,理工科,,少于10人,初创公司,超过4年,36,1.0
云南省,0.92,男,有相关经验,未入学,硕士,理工科,超过20年,50-99人,非政府组织,1年内,21,0.0
甘肃省,0.92,女,有相关经验,未入学,本科,理工科,,50-99人,初创公司,1年内,48,0.0
河南省,0.55,男,有相关经验,未入学,本科,理工科,,10-49人,私营公司,1年内,11,1.0
湖南省,0.887,,有相关经验,未入学,硕士,理工科,,1000-4999人,私营公司,,104,1.0
广东省,0.884,,有相关经验,未入学,本科,理工科,,500-999人,私营公司,,36,1.0
宁夏回族自治区,0.92,,有相关经验,未入学,本科,理工科,,1000-4999人,私营公司,1年内,70,0.0
新疆维吾尔自治区,0.91,男,无相关经验,未入学,小学,,,,私营公司,从未,18,0.0
福建省,0.92,,有相关经验,未入学,本科,理工科,超过20年,,,1年内,134,1.0
广西壮族自治区,0.92,男,无相关经验,未入学,本科,理工科,超过20年,,,超过4年,53,1.0
宁夏回族自治区,0.767,男,有相关经验,未入学,本科,理工科,,,,超过4年,34,0.0
福建省,0.92,男,有相关经验,未入学,本科,理工科,,10000人以上,私营公司,1年内,38,0.0
吉林省,0.804,男,有相关经验,未入学,硕士,理工科,超过20年,100-500人,私营公司,1年内,18,0.0
香港特别行政区,0.698,男,无相关经验,非全日制课程,高中,,,少于10人,初创公司,1年内,69,0.0
福建省,0.913,男,有相关经验,未入学,本科,理工科,超过20年,少于10人,私营公司,,3,1.0
天津市,0.91,男,无相关经验,全日制课程,本科,理工科,,,,从未,55,0.0
天津市,0.91,,无相关经验,未入学,高中,,少于1年,,,从未,143,0.0
江苏省,0.92,男,有相关经验,未入学,硕士,理工科,超过20年,100-500人,非政府组织,,40,0.0
江西省,0.92,男,有相关经验,未入学,本科,理工科,超过20年,,,,100,1.0
湖南省,0.754,男,有相关经验,未入学,本科,理工科,,100-500人,私营公司,1年内,11,0.0
台湾省,0.92,男,无相关经验,未入学,本科,理工科,,,,,86,1.0
内蒙古自治区,0.624,男,无相关经验,全日制课程,高中,,少于1年,,,从未,11,0.0
台湾省,0.893,男,有相关经验,全日制课程,本科,理工科,,少于10人,私营公司,1年内,114,0.0
安徽省,0.92,男,有相关经验,未入学,硕士,理工科,超过20年,100-500人,私营公司,超过4年,19,0.0
云南省,0.92,男,有相关经验,未入学,本科,理工科,,少于10人,融资创业公司,1年内,100,0.0
甘肃省,0.7659999999999999,男,有相关经验,非全日制课程,本科,商学,,1000-4999人,私营公司,超过4年,112,0.0
台湾省,0.897,男,无相关经验,非全日制课程,本科,理工科,,少于10人,,1年内,85,0.0
青海省,0.91,男,有相关经验,未入学,硕士,理工科,,100-500人,融资创业公司,1年内,74,0.0
湖南省,0.92,男,有相关经验,未入学,本科,理工科,,50-99人,融资创业公司,,31,0.0
湖南省,0.624,男,无相关经验,全日制课程,高中,,少于1年,,,从未,15,1.0
江西省,0.754,男,无相关经验,全日制课程,高中,,,,,从未,163,0.0
广东省,0.91,男,有相关经验,,,,,,,超过4年,56,1.0
江西省,0.91,男,无相关经验,未入学,高中,,,,,从未,141,0.0
